Designator,Mid X,Mid Y,Rotation,Layer
D1,112.7,-89.08,270.0,top
D10,130.7,-147.08,270.0,top
D11,112.7,-147.08,270.0,top
D12,166.7,-97.08,270.0,top
D13,148.7,-97.08,270.0,top
D14,130.7,-97.08,270.0,top
D15,112.7,-97.08,270.0,top
D16,166.7,-123.08,270.0,top
D17,148.7,-123.08,270.0,top
D18,130.7,-123.08,270.0,top
D19,112.7,-123.08,270.0,top
D2,112.7,-115.08,270.0,top
D20,166.7,-165.08,270.0,top
D21,148.7,-165.08,270.0,top
D22,130.7,-165.08,270.0,top
D23,112.7,-165.08,270.0,top
D3,166.7,-79.08,270.0,top
D4,148.7,-79.08,270.0,top
D5,130.7,-79.08,270.0,top
D6,112.7,-79.08,270.0,top
D7,112.7,-157.08,270.0,top
D8,166.7,-147.08,270.0,top
D9,148.7,-147.08,270.0,top
J1,132.075,-88.387,270.0,bottom
J2,132.075,-156.221,270.0,bottom
J3,118.115,-88.387,270.0,bottom
J4,151.135,-88.387,270.0,bottom
J5,118.115,-156.221,270.0,bottom
J8,151.135,-156.205,270.0,bottom
R1,123.952,-95.504,0.0,bottom
R10,141.986,-148.844,0.0,bottom
R11,123.952,-148.844,0.0,bottom
R12,155.702,-98.806,180.0,bottom
R13,137.668,-95.504,180.0,bottom
R14,141.986,-98.806,0.0,bottom
R15,123.952,-98.806,0.0,bottom
R16,155.448,-124.714,180.0,bottom
R17,137.668,-121.412,180.0,bottom
R18,141.986,-124.714,0.0,bottom
R19,123.952,-124.714,0.0,bottom
R2,123.952,-116.84,0.0,bottom
R20,155.448,-166.878,180.0,bottom
R21,137.668,-163.576,180.0,bottom
R22,141.986,-166.878,0.0,bottom
R23,123.952,-166.878,0.0,bottom
R24,162.052,-101.69,270.0,bottom
R25,144.018,-101.6,270.0,bottom
R26,135.382,-101.6,270.0,bottom
R27,117.094,-101.6,270.0,bottom
R28,162.052,-127.682,270.0,bottom
R29,144.018,-127.682,270.0,bottom
R3,155.702,-80.772,180.0,bottom
R30,135.382,-127.69,270.0,bottom
R31,117.348,-127.682,270.0,bottom
R32,162.052,-169.688,270.0,bottom
R33,144.018,-169.688,270.0,bottom
R34,135.382,-169.688,270.0,bottom
R35,117.348,-169.688,270.0,bottom
R36,155.448,-163.576,180.0,bottom
R37,169.164,-158.496,90.0,bottom
R38,165.862,-158.496,90.0,bottom
R39,163.068,-148.844,0.0,bottom
R4,137.668,-77.47,180.0,bottom
R5,141.986,-80.772,0.0,bottom
R6,123.952,-80.772,0.0,bottom
R7,123.952,-163.576,0.0,bottom
R8,155.448,-145.542,180.0,bottom
R9,137.668,-145.542,180.0,bottom
SW1,166.7,-105.08,0.0,top
SW10,148.7,-173.096,0.0,top
SW11,130.7,-173.08,0.0,top
SW12,112.7,-173.08,0.0,top
SW2,148.7,-105.08,0.0,top
SW3,130.7,-105.08,0.0,top
SW4,112.7,-105.08,0.0,top
SW5,166.7,-131.08,0.0,top
SW6,148.7,-131.08,0.0,top
SW7,130.7,-131.08,0.0,top
SW8,112.7,-131.08,0.0,top
SW9,166.7,-173.08,0.0,top
