Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D5.0mm_P2.00mm,1,22uF,
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C5, C50, C51, C52, C53, C54, C55, C56, C6, C7, C8, C9",0603,55,10n,
"FID1, FID2, FID3, FID4",Fiducial_1mm_Mask2mm,4,Fiducial,
J1,Pin_D0.9mm_L10.0mm_W2.4mm_FlatFork,1,Conn_01x01_Pin,
"J2, J3",PinSocket_2x05_P2.54mm_Horizontal,2,Conn_01x10_Pin,
"J4, J5",CONN_XF3M1-1015-1B_OMR,2,XF3M1-1015-1B,
"J6, J9",FFC3A2004G_meu,2,FFC3A20-04-G_meu,
J7,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Conn_01x02_Pin,
J8,PinSocket_2x07_P2.54mm_Horizontal,1,Conn_01x10_Pin,
"R1, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63",0603,55,36R,
"R10, R11, R4, R5, R6, R7, R8, R9",0603,8,1K5,
"R64, R65, R66, R67, R68, R69",0603,6,100R,
"R70, R71, R72, R73",0603,4,200R,
"U1, U10, U100, U101, U102, U103, U104, U105, U106, U107, U11, U12, U13, U14, U15, U16, U17, U18, U19, U2, U20, U21, U22, U23, U24, U25, U26, U27, U28, U29, U3, U30, U31, U32, U33, U34, U35, U36, U37, U38, U39, U4, U40, U41, U42, U43, U44, U45, U46, U47, U48, U49, U5, U50, U51, U52, U53, U54, U55, U56, U57, U58, U59, U6, U60, U61, U62, U63, U64, U65, U66, U67, U68, U69, U7, U70, U71, U72, U73, U74, U75, U76, U77, U78, U79, U8, U80, U81, U82, U83, U84, U85, U86, U87, U88, U89, U9, U90, U91, U92, U93, U94, U95, U96, U97, U98, U99",SOT-23-6,107,1G3157,
