Designator,Mid X,Mid Y,Rotation,Layer
C1,246.888,-69.724651,90.0,top
C10,270.256,-139.954,180.0,top
C11,240.03,-139.954,0.0,top
C12,235.966,-139.954,180.0,top
C13,201.93,-122.936,270.0,top
C14,197.358,-125.222,90.0,top
C15,206.248,-91.948,270.0,top
C16,196.596,-90.424,180.0,top
C17,200.66,-90.424,180.0,top
C18,206.248,-79.756,90.0,top
C19,206.248,-83.82,270.0,top
C2,218.44,-83.82,270.0,top
C20,199.136,-146.175349,270.0,top
C21,216.368,-152.908,180.0,top
C22,205.994,-147.828,270.0,top
C23,209.55,-131.572,270.0,top
C24,244.348,-169.672,0.0,top
C25,266.446,-169.672,0.0,top
C26,210.058,-169.672,0.0,top
C27,209.55,-135.636,90.0,top
C28,212.598,-143.764,270.0,top
C29,219.202,-143.764,270.0,top
C3,225.044,-79.756,270.0,top
C30,195.58,-77.47,270.0,top
C31,201.168,-107.95,90.0,top
C32,214.884,-62.992,180.0,top
C33,219.964,-62.992,180.0,top
C34,209.804,-104.14,180.0,top
C35,214.884,-104.14,180.0,top
C36,219.964,-104.14,180.0,top
C37,165.608,-129.286,180.0,top
C38,189.992,-154.94,180.0,top
C39,189.992,-148.082,180.0,top
C4,197.358,-121.158,270.0,top
C40,189.992,-141.224,180.0,top
C41,174.752,-129.286,180.0,top
C42,170.18,-129.286,180.0,top
C43,174.752,-141.986,180.0,top
C44,165.608,-141.986,180.0,top
C45,170.18,-141.986,180.0,top
C46,165.608,-154.686,180.0,top
C47,174.752,-154.686,180.0,top
C48,170.18,-154.686,180.0,top
C49,170.18,-167.386,180.0,top
C5,235.966,-115.824,0.0,top
C50,174.752,-167.386,180.0,top
C51,165.608,-167.386,180.0,top
C52,209.804,-62.992,180.0,top
C53,189.992,-104.14,180.0,top
C54,189.992,-97.282,180.0,top
C55,189.992,-90.424,180.0,top
C56,170.18,-91.186,180.0,top
C57,170.18,-116.586,180.0,top
C58,174.752,-78.486,180.0,top
C59,165.608,-78.486,180.0,top
C6,256.286,-115.824,0.0,top
C60,170.18,-78.486,180.0,top
C61,174.752,-91.186,180.0,top
C62,165.608,-116.586,180.0,top
C63,170.18,-103.886,180.0,top
C64,165.608,-103.886,180.0,top
C65,165.608,-91.186,180.0,top
C66,174.752,-103.886,180.0,top
C67,174.752,-116.586,180.0,top
C7,218.44,-96.012,270.0,top
C8,225.044,-91.948,270.0,top
C9,266.192,-139.954,0.0,top
D1,271.232,-81.0,270.0,bottom
D10,271.232,-159.0,270.0,bottom
D11,205.232,-159.0,270.0,bottom
D2,261.232,-105.0,270.0,bottom
D3,231.232,-105.0,270.0,bottom
D4,241.232,-81.0,270.0,bottom
